comment,rating,date_time
Great value,2,1/26/2022
Waste of Money,3,2/15/2024
Highly recommend,1,12/17/2023
Great quality,2,2/27/2022
Great value,5,7/3/2021
Love it!,4,2/18/2024
Poor customer service,2,7/22/2023
Worth the buy,1,4/6/2023
Awful,3,11/24/2021
Poor quality,5,4/12/2021
Worth the buy,1,9/30/2023
Awful,2,8/24/2022
Poor quality,4,11/17/2022
Poor customer service,2,5/26/2022
Love it!,5,8/21/2022
Poor quality,4,4/18/2021
Love it!,3,8/11/2023
Poor quality,3,7/6/2023
Versatile,1,1/26/2023
Great value,1,1/18/2024
Poor customer service,2,5/8/2021
Versatile,2,6/10/2023
Great value,3,7/3/2023
Great value,4,2/15/2024
Highly recommend,4,10/5/2022
Poor quality,5,5/5/2023
Poor quality,1,12/6/2022
Great value,4,7/1/2021
Waste of Money,5,11/26/2022
Great value,3,11/14/2023
Love it!,3,12/31/2023
Love it!,5,2/16/2024
Highly recommend,3,4/12/2022
Great value,2,6/15/2021
Great quality,4,1/5/2023
Highly recommend,1,2/12/2022
Great value,2,6/25/2023
Awful,5,9/25/2022
Great quality,5,10/16/2022
Love it!,5,9/23/2021
Highly recommend,2,1/24/2023
Versatile,4,1/21/2023
Love it!,2,8/29/2023
Great quality,3,3/2/2023
Love it!,1,5/8/2022
